"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] CompanyNameComparatorJaccardNgram record1Value","[0] CompanyNameComparatorJaccardNgram record2Value","[0] CompanyNameComparatorJaccardNgram record1PreprocessedValue","[0] CompanyNameComparatorJaccardNgram record2PreprocessedValue","[0] CompanyNameComparatorJaccardNgram similarity","[0] CompanyNameComparatorJaccardNgram postproccesedSimilarity"
"LinearCombinationMatchingRule","dataworld_1749","Forbes1099","0.0",,"Sage Group","SDIC Power Holdings","sage","sdicpower","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1619","Forbes1939","0.038461538461538464",,"Maxim Integrated Products","Minato Bank","maximintegratedproducts","minato","0.038461538461538464","0.038461538461538464"
"LinearCombinationMatchingRule","dataworld_363","Forbes1755","0.0",,"Coal India","China National Materials","coalindia","chinanationalmaterials","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_401","Forbes548","0.0",,"Covidien","CenturyLink","covidien","centurylink","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_553","Forbes303","0.0",,"Cencosud","Charles Schwab","cencosud","charlesschwab","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_720","Forbes1143","0.0",,"Tyson Foods","Toppan Printing","tysonfoods","toppanprinting","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_655","Forbes1433","0.0",,"Delphi Automotive","Dassault Aviation","delphiautomotive","dassaultaviation","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_727","Forbes1148","0.0",,"Pearson","Punjab National Bank","pearson","punjabnational","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1107","Forbes406","0.0",,"Saudi Arabian Fertilizers","SSE","saudiarabianfertilizers","sse","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1368","Forbes404","0.0",,"Shanghai Construction","Sempra Energy","shanghaiconstruction","sempra","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1749","Forbes1096","0.0",,"Sage Group","Shanghai Construction","sage","shanghaiconstruction","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1102","Forbes1445","0.0",,"AMR","Aeroports de Paris","amr","aeroportsdeparis","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_741","Forbes1655","0.0",,"Tesoro","Tosoh","tesoro","tosoh","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1307","Forbes860","0.0",,"Abengoa","Assa Abloy","abengoa","assaabloy","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1710","Forbes534","0.0",,"CC Media Holdings","China Zheshang Bank","ccmedia","chinazheshang","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_619","Forbes638","0.0",,"Bangkok Bank","Bunge","bangkok","bunge","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1628","Forbes802","0.0",,"Varian Medical Systems","VEON","varianmedicalsystems","veon","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1710","Forbes533","0.0",,"CC Media Holdings","Cummins","ccmedia","cummins","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_133","Forbes1505","0.034482758620689655",,"China Telecom","Chow Tai Fook Jewellery","chinatelecom","chowtaifookjewellery","0.034482758620689655","0.034482758620689655"
"LinearCombinationMatchingRule","dataworld_653","Forbes157","0.0",,"Nucor","Nordea Bank","nucor","nordea","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_257","Forbes1513","0.023255813953488372",,"Anadarko Petroleum","Adani Ports & Special Economic Zone","anadarkopetroleum","adaniportsspecialeconomiczone","0.023255813953488372","0.023255813953488372"
"LinearCombinationMatchingRule","dataworld_1407","Forbes1139","0.0",,"Wyndham Worldwide","Wm Morrison Supermarkets","wyndhamworldwide","wmmorrisonsupermarkets","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1885","Forbes1483","0.0",,"TPV Technology","Taishin Financial Holdings","tpvtechnology","taishin","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1021","Forbes440","0.16666666666666666",,"Nippon Express","Nippon Steel & Sumitomo Metal","nipponexpress","nipponsteelsumitomometal","0.16666666666666666","0.16666666666666666"
"LinearCombinationMatchingRule","dataworld_133","Forbes1508","0.0",,"China Telecom","Concordia Financial Group","chinatelecom","concordia","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_322","Forbes934","0.0",,"Tata Motors","Tesla","tata","tesla","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_777","Forbes298","0.0",,"L-3 Communications","LyondellBasell Industries","l3","lyondellbasell","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1453","Forbes751","0.0",,"Accor","Abertis","accor","abertis","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_833","Forbes854","0.0",,"CenterPoint Energy","China Gezhouba","centerpoint","chinagezhouba","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_363","Forbes1750","0.0",,"Coal India","CalAtlantic Group","coalindia","calatlantic","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1767","Forbes816","0.03571428571428571",,"Chicago Bridge & Iron","Chongqing Rural Bank","chicagobridgeiron","chongqingrural","0.03571428571428571","0.03571428571428571"
"LinearCombinationMatchingRule","dataworld_534","Forbes99","0.125",,"Entergy","Enel","entergy","enel","0.125","0.125"
"LinearCombinationMatchingRule","dataworld_29","Forbes1060","0.11764705882352941",,"China Mobile","C.H. Robinson","chinamobile","chrobinson","0.11764705882352941","0.11764705882352941"
"LinearCombinationMatchingRule","dataworld_833","Forbes852","0.0",,"CenterPoint Energy","China Steel","centerpoint","chinasteel","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_499","Forbes715","0.0",,"Toyota Industries","Telenor","toyota","telenor","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_815","Forbes1495","0.0",,"Bank Hapoalim","Blom Bank","hapoalim","blom","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1135","Forbes1457","0.03333333333333333",,"Shin Kong Financial","Shanghai Commercial & Savings Bank","shinkong","shanghaicommercialsavings","0.03333333333333333","0.03333333333333333"
"LinearCombinationMatchingRule","dataworld_905","Forbes1468","0.05",,"Antarchile","Agile Property Holdings","antarchile","agileproperty","0.05","0.05"
"LinearCombinationMatchingRule","dataworld_837","Forbes238","0.0",,"China Eastern Airlines","Cathay Financial","chinaeasternairlines","cathay","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_594","Forbes214","0.0",,"Publicis Groupe","People's Insurance Company","publicisgroupe","peoplesinsurancecompany","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1678","Forbes1875","0.0",,"Foot Locker","First Quantum Minerals","footlocker","firstquantumminerals","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1722","Forbes1074","0.0",,"Ayala","Asustek Computer","ayala","asustekcomputer","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_97","Forbes1102","0.0",,"China Merchants Bank","Clorox","chinamerchants","clorox","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1480","Forbes1541","0.06896551724137931",,"Crescent Point Energy","Continental Resources","crescentpoint","continentalresources","0.06896551724137931","0.06896551724137931"
"LinearCombinationMatchingRule","dataworld_97","Forbes1103","0.0",,"China Merchants Bank","Cielo","chinamerchants","cielo","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_361","Forbes1623","0.03225806451612903",,"Baker Hughes","Banco Comercial Portugues","bakerhughes","bancocomercialportugues","0.03225806451612903","0.03225806451612903"
"LinearCombinationMatchingRule","dataworld_988","Forbes1274","1.0",,"Banca MPS","Banca MPS","bancamps","bancamps","1.0","1.0"
"LinearCombinationMatchingRule","dataworld_1372","Forbes1694","0.0",,"Suzuken","Snap","suzuken","snap","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1523","Forbes1986","0.0",,"Shangri-La Asia","Synnex Technology Intl","shangrilaasia","synnextechnologyintl","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_559","Forbes694","0.030303030303030304",,"Air Products & Chemicals","All Nippon Airways","airproductschemicals","allnipponairways","0.030303030303030304","0.030303030303030304"
"LinearCombinationMatchingRule","dataworld_988","Forbes1275","0.0",,"Banca MPS","Bed Bath & Beyond","bancamps","bedbathbeyond","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1372","Forbes1696","0.0",,"Suzuken","Samsung Heavy Industries","suzuken","samsungheavy","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1579","Forbes122","0.038461538461538464",,"Banca Popolare di Milano","Barclays","bancapopolaredimilano","barclays","0.038461538461538464","0.038461538461538464"
"LinearCombinationMatchingRule","dataworld_1479","Forbes1067","0.0",,"Aker Solutions","Analog Devices","akersolutions","analogdevices","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1372","Forbes1697","0.0",,"Suzuken","SinoPac Financial","suzuken","sinopac","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1592","Forbes1299","0.0",,"Minmetals Development","Medipal Holdings","minmetalsdevelopment","medipal","0.0","0.0"
