"RecordIDS","AverageConsistency","COUNTRY-Consistency","COUNTRY-Values","YEAR_FOUNDED-Consistency","YEAR_FOUNDED-Values","CURRENT_EMPLOYEES-Consistency","CURRENT_EMPLOYEES-Values","Name-Consistency","Name-Values","INDUSTRY-Consistency","INDUSTRY-Values"
"Kaggle_8032+dbpedia_2057","0.6","1.0","{south korea}","1.0","{1977.0|1977.0}","0.0","{1373.0|7612.0}","1.0","{hyundai mobis|Hyundai Mobis}","0.0","{[, automotive, ]|[, Automotive industry, ]}"
"Kaggle_2689314+dbpedia_1793","0.5",,,"1.0","{1869.0}","0.0","{2.0|40500.0}","1.0","{goldman sachs|Goldman Sachs}","0.0","{[, management consulting, ]|[, Financial services, ]}"
"Kaggle_14059+dbpedia_109","0.6","1.0","{united states}","1.0","{1966.0|1966.0}","0.0","{817.0|5000.0}","1.0","{advanced drainage systems, inc.|Advanced Drainage Systems}","0.0","{[, construction, ]|[, Water industry, ]}"
"Kaggle_23979+dbpedia_2981","0.8","1.0","{united states}","1.0","{2002.0|2002.0}","1.0","{488.0}","1.0","{national cinemedia (ncm)|National CineMedia}","0.0","{[, marketing and advertising, ]|[, Entertainment, ]}"
"Kaggle_4208+dbpedia_2580","0.8","1.0","{india}","1.0","{1980.0|1980.0}","0.0","{2397.0|2700.0}","1.0","{lodha group|Lodha Group}","1.0","{[, real estate, ]|[, Real estate, ]}"
"Kaggle_10669+dbpedia_314","0.6","1.0","{united states}","1.0","{2004.0}","0.0","{1054.0|2600.0}","1.0","{arista networks|Arista Networks}","0.0","{[, computer networking, ]|[, Networking hardware, ]}"
"Kaggle_804+dbpedia_2907","0.6","1.0","{united states}","1.0","{1928.0|2011.0}","0.0","{8474.0|18000.0}","1.0","{motorola solutions|Motorola Solutions}","0.0","{[, information technology and services, ]|[, Telecommunications equipment, ]}"
"Kaggle_34562+dbpedia_685","0.8","1.0","{france}","1.0","{1979.0|1979.0}","1.0","{338.0}","1.0","{bricomarché|Bricomarché}","0.0","{[, supermarkets, ]|[, Retail, ]}"
"Kaggle_45346+dbpedia_3893","0.4","1.0","{Sri Lanka}","0.0","{1851.0|1974.0}","0.0","{256.0|3037.0}","1.0","{singer sri lanka plc|Singer (Sri Lanka)}","0.0","{[, consumer electronics, ]|[, Holding company, , Retail, ]}"
"Kaggle_95832+dbpedia_1701","0.6","1.0","{united states}","1.0","{1971.0|1994.0}","0.0","{116.0|450.0}","1.0","{gse systems|GSE Systems}","0.0","{[, oil & energy, ]|[, Process control, ]}"
"Kaggle_124426+dbpedia_2204","0.6","1.0","{zambia}","1.0","{1996.0}","0.0","{88.0|456.0}","1.0","{investrust bank plc|Investrust Bank}","0.0","{[, banking, ]|[, Financial services, ]}"
"Kaggle_171132+dbpedia_785","0.8","1.0","{india}","1.0","{1984.0}","1.0","{62.0}","1.0","{camlin fine sciences|Camlin Fine Sciences}","0.0","{[, chemicals, ]|[, Speciality chemicals, ]}"
"Kaggle_2401+dbpedia_3412","0.6","1.0","{italy}","1.0","{1913.0|1913.0}","0.0","{3727.0|13331.0}","1.0","{prada|Prada}","0.0","{[, apparel & fashion, ]|[, Fashion, ]}"
"Kaggle_383229+dbpedia_972","0.6","1.0","{china}","1.0","{2009.0|1929.0}","0.0","{25.0|40000.0}","1.0","{cintas china|Cintas}","0.0","{[, facilities services, ]|[, Tertiary sector of the economy, ]}"
"Kaggle_14918+dbpedia_1089","0.6","1.0","{united states}","1.0","{2010.0|2010.0}","0.0","{773.0|37000.0}","1.0","{coupang|Coupang}","0.0","{[, internet, ]|[, E-commerce, , Digital distribution, ]}"
"Kaggle_4507182+dbpedia_958","0.6","1.0","{united states}","1.0","{1977.0}","0.0","{1.0|73800.0}","1.0","{cigna|Cigna}","0.0","{[, retail, ]|[, Insurance, , Managed care, ]}"
"Kaggle_106478+dbpedia_365","0.6","0.0","{united states|France}","1.0","{1972.0}","1.0","{104.0}","1.0","{atari|Atari SA}","0.0","{[, computer games, ]|[, Blockchain, , Video game industry, ]}"
"Kaggle_13804+dbpedia_2859","0.6","1.0","{Japan}","1.0","{1884.0|1884.0}","0.0","{830.0|9626.0}","1.0","{mitsui osk lines|Mitsui O.S.K. Lines}","0.0","{[, maritime, ]|[, Transport, ]}"
"Kaggle_7733+dbpedia_4442","0.6","1.0","{australia}","1.0","{2011.0}","0.0","{1420.0|3400.0}","1.0","{treasury wine estates|Treasury Wine Estates}","0.0","{[, wine and spirits, ]|[, Winemaking, ]}"
"Kaggle_201301+dbpedia_2558","0.6","1.0","{united states}","1.0","{1986.0|1986.0}","0.0","{52.0|370.0}","1.0","{lifeway foods, inc.|Lifeway Foods}","0.0","{[, food production, ]|[, Healthy diet, ]}"
