"Experiment ID","Dataset 1","Dataset 2","Matching Rule ID","Matching Rule Threshold","Blocker ID","Precision (Train)","Recall (Train)","F1 (Train)","Precision (Test)","Recall (Test)","F1 (Test)","#corr","Duration","Reduction ratio","#blocked pairs"
"3_7_85_dbpedia_forbes","dbpedia","forbes","3","0.85","7","0.9622641509433962","5.806930693069307","1.6509500351864885","0.966183574879227","5.714285714285714","1.6528925619834711","5848","0:00:25.721","0.7004634221946684","-1"
"3_7_85_dbpedia_dw","dbpedia","dw","3","0.85","7","0.9446870451237264","7.054347826086956","1.6662387676508343","0.9225806451612903","7.079207920792079","1.632420091324201","5338","0:00:24.457","0.6885855525037174","-1"
"3_7_85_dw_forbes","dw","forbes","3","0.85","7","0.9309331373989713","8.73793103448276","1.6826029216467464","0.9956140350877193","8.407407407407407","1.780392156862745","13198","0:00:08.778","0.730031185031185","-1"
"4_7_85_dbpedia_forbes","dbpedia","forbes","4","0.85","7","0.9622641509433962","5.806930693069307","1.6509500351864885","0.966183574879227","5.714285714285714","1.6528925619834711","5848","0:00:25.583","0.7004634221946684","-1"
"4_7_85_dbpedia_dw","dbpedia","dw","4","0.85","7","0.9446870451237264","7.054347826086956","1.6662387676508343","0.9225806451612903","7.079207920792079","1.632420091324201","5338","0:00:25.046","0.6885855525037174","-1"
"4_7_85_dw_forbes","dw","forbes","4","0.85","7","0.9309331373989713","8.73793103448276","1.6826029216467464","0.9956140350877193","8.407407407407407","1.780392156862745","13198","0:00:08.948","0.730031185031185","-1"
"5_7_85_dbpedia_forbes","dbpedia","forbes","5","0.85","7","0.9882055602358888","5.806930693069307","1.6889848812095034","0.966183574879227","5.714285714285714","1.6528925619834711","5784","0:00:57.341","0.7004634221946684","-1"
"5_7_85_dbpedia_dw","dbpedia","dw","5","0.85","7","0.9521460286137149","6.992753623188406","1.6760746851932264","0.9217731421121251","7.0","1.6290322580645162","5242","0:00:53.139","0.6885855525037174","-1"
"5_7_85_dw_forbes","dw","forbes","5","0.85","7","0.9824098504837291","7.703448275862069","1.7425897035881437","1.0","6.851851851851852","1.7452830188679245","12875","0:00:18.990","0.730031185031185","-1"
"6_7_85_dbpedia_forbes","dbpedia","forbes","6","0.85","7","1.0","4.50990099009901","1.637017070979335","1.0","4.742857142857143","1.6517412935323383","4838","0:00:59.647","0.7004634221946684","-1"
"6_7_85_dbpedia_dw","dbpedia","dw","6","0.85","7","1.0","6.418478260869565","1.7304029304029305","1.0","6.425742574257426","1.7306666666666666","4252","0:00:56.413","0.6885855525037174","-1"
"6_7_85_dw_forbes","dw","forbes","6","0.85","7","1.0","6.7172413793103445","1.740840035746202","1.0","6.2592592592592595","1.7244897959183674","12398","0:00:20.403","0.730031185031185","-1"
"7_7_85_dbpedia_forbes","dbpedia","forbes","7","0.85","7","0.9504132231404959","7.400990099009901","1.6845070422535213","1.0","8.257142857142858","1.7839506172839505","6412","0:03:12.823","0.7004634221946684","-1"
"7_7_85_dbpedia_dw","dbpedia","dw","7","0.85","7","0.9821389195148842","8.068840579710145","1.7511303322193825","0.9794754846066135","8.504950495049505","1.756646216768916","5525","0:03:08.566","0.6885855525037174","-1"
"7_7_85_dw_forbes","dw","forbes","7","0.85","7","0.9821138211382113","8.331034482758621","1.757090909090909","1.0","7.851851851851852","1.774058577405858","12992","0:01:14.432","0.730031185031185","-1"
"1_8_85_dbpedia_forbes","dbpedia","forbes","1","0.85","8","0.9789473684210527","0.4603960396039604","0.6262626262626263","0.9230769230769231","0.34285714285714286","0.5000000000000001","423","0:00:02.600","0.9708147344492664","-1"
"1_8_85_dbpedia_dw","dbpedia","dw","1","0.85","8","0.9563636363636364","0.47644927536231885","0.6360338573155986","0.9215686274509803","0.46534653465346537","0.618421052631579","383","0:00:02.483","0.9696752047960976","-1"
"1_8_85_dw_forbes","dw","forbes","1","0.85","8","0.9772727272727273","0.593103448275862","0.7381974248927037","1.0","0.5185185185185185","0.6829268292682926","908","0:00:00.862","0.970793918918919","-1"
"2_8_85_dbpedia_forbes","dbpedia","forbes","2","0.85","8","1.0","0.3069306930693069","0.46969696969696967","1.0","0.2","0.33333333333333337","301","0:00:02.168","0.9708147344492664","-1"
"2_8_85_dbpedia_dw","dbpedia","dw","2","0.85","8","1.0","0.39855072463768115","0.5699481865284974","1.0","0.36633663366336633","0.5362318840579711","257","0:00:02.549","0.9696752047960976","-1"
"2_8_85_dw_forbes","dw","forbes","2","0.85","8","1.0","0.5448275862068965","0.7053571428571428","1.0","0.48148148148148145","0.65","867","0:00:00.833","0.970793918918919","-1"
"3_8_85_dbpedia_forbes","dbpedia","forbes","3","0.85","8","0.9489795918367347","0.4603960396039604","0.6200000000000001","0.9230769230769231","0.34285714285714286","0.5000000000000001","427","0:00:02.183","0.9708147344492664","-1"
"3_8_85_dbpedia_dw","dbpedia","dw","3","0.85","8","0.9430604982206405","0.48007246376811596","0.6362545018007203","0.9215686274509803","0.46534653465346537","0.618421052631579","391","0:00:01.944","0.9696752047960976","-1"
"3_8_85_dw_forbes","dw","forbes","3","0.85","8","0.9238095238095239","0.6689655172413793","0.776","0.9411764705882353","0.5925925925925926","0.7272727272727272","928","0:00:00.945","0.970793918918919","-1"
"4_8_85_dbpedia_forbes","dbpedia","forbes","4","0.85","8","0.9489795918367347","0.4603960396039604","0.6200000000000001","0.9230769230769231","0.34285714285714286","0.5000000000000001","427","0:00:02.187","0.9708147344492664","-1"
"4_8_85_dbpedia_dw","dbpedia","dw","4","0.85","8","0.9430604982206405","0.48007246376811596","0.6362545018007203","0.9215686274509803","0.46534653465346537","0.618421052631579","391","0:00:02.065","0.9696752047960976","-1"
"4_8_85_dw_forbes","dw","forbes","4","0.85","8","0.9238095238095239","0.6689655172413793","0.776","0.9411764705882353","0.5925925925925926","0.7272727272727272","928","0:00:00.829","0.970793918918919","-1"
"5_8_85_dbpedia_forbes","dbpedia","forbes","5","0.85","8","0.9789473684210527","0.4603960396039604","0.6262626262626263","0.9230769230769231","0.34285714285714286","0.5000000000000001","423","0:00:04.603","0.9708147344492664","-1"
"5_8_85_dbpedia_dw","dbpedia","dw","5","0.85","8","0.9563636363636364","0.47644927536231885","0.6360338573155986","0.9215686274509803","0.46534653465346537","0.618421052631579","383","0:00:04.697","0.9696752047960976","-1"
"5_8_85_dw_forbes","dw","forbes","5","0.85","8","0.9775280898876404","0.6","0.7435897435897435","1.0","0.5185185185185185","0.6829268292682926","909","0:00:01.642","0.970793918918919","-1"
"6_8_85_dbpedia_forbes","dbpedia","forbes","6","0.85","8","1.0","0.3118811881188119","0.47547169811320755","1.0","0.2","0.33333333333333337","312","0:00:05.269","0.9708147344492664","-1"
"6_8_85_dbpedia_dw","dbpedia","dw","6","0.85","8","1.0","0.411231884057971","0.582798459563543","1.0","0.38613861386138615","0.5571428571428572","271","0:00:05.168","0.9696752047960976","-1"
"6_8_85_dw_forbes","dw","forbes","6","0.85","8","1.0","0.5310344827586206","0.6936936936936936","1.0","0.48148148148148145","0.65","863","0:00:01.917","0.970793918918919","-1"
"7_8_85_dbpedia_forbes","dbpedia","forbes","7","0.85","8","0.9906542056074766","0.5247524752475248","0.686084142394822","1.0","0.42857142857142855","0.6","427","0:00:18.750","0.9708147344492664","-1"
"7_8_85_dbpedia_dw","dbpedia","dw","7","0.85","8","0.9928825622775801","0.5054347826086957","0.6698679471788717","0.9811320754716981","0.5148514851485149","0.6753246753246753","337","0:00:19.363","0.9696752047960976","-1"
"7_8_85_dw_forbes","dw","forbes","7","0.85","8","0.9891304347826086","0.6275862068965518","0.7679324894514769","1.0","0.5925925925925926","0.7441860465116279","904","0:00:06.760","0.970793918918919","-1"
"1_9_85_dbpedia_kaggle_a_1","dbpedia","kaggle_a_1","1","0.85","9","0.0","0.0","0.0","0.0","0.0","0.0","7443","0:16:10.508","0.9780390619696431","-1"
"1_9_2_dbpedia_kaggle_a_1","dbpedia","kaggle_a_1","1","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","5931685","0:16:48.922","0.9780390619696431","-1"
"1_9_2_dbpedia_kaggle_a_2","dbpedia","kaggle_a_2","1","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","5284215","0:15:09.592","0.9800257596556974","-1"
"1_9_2_dbpedia_kaggle_a_3","dbpedia","kaggle_a_3","1","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","4947722","0:15:31.170","0.9807600991605847","-1"
"1_9_2_dbpedia_kaggle_a_4","dbpedia","kaggle_a_4","1","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","2816367","0:07:59.478","0.9799788153879321","-1"
"2_9_2_dbpedia_kaggle_a_1","dbpedia","kaggle_a_1","2","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","8965301","0:18:45.145","0.9780390619696431","-1"
"2_9_2_dbpedia_kaggle_a_2","dbpedia","kaggle_a_2","2","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","7232141","0:16:29.827","0.9800257596556974","-1"
"2_9_2_dbpedia_kaggle_a_3","dbpedia","kaggle_a_3","2","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","6538372","0:15:35.599","0.9807600991605847","-1"
"2_9_2_dbpedia_kaggle_a_4","dbpedia","kaggle_a_4","2","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","3875418","0:09:52.555","0.9799788153879321","-1"
"5_9_2_dbpedia_kaggle_a_1","dbpedia","kaggle_a_1","5","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","13076963","0:28:10.244","0.9780390619696431","-1"
"5_9_2_dbpedia_kaggle_a_2","dbpedia","kaggle_a_2","5","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","11346125","0:23:35.471","0.9800257596556974","-1"
"5_9_2_dbpedia_kaggle_a_3","dbpedia","kaggle_a_3","5","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","10609348","0:22:53.106","0.9807600991605847","-1"
"5_9_2_dbpedia_kaggle_a_4","dbpedia","kaggle_a_4","5","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","6157071","0:13:24.555","0.9799788153879321","-1"
"1_9_2_forbes_kaggle_a_1","forbes","kaggle_a_1","1","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","1862473","0:06:20.898","0.9825520750538076","-1"
"2_9_2_forbes_kaggle_a_1","forbes","kaggle_a_1","2","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","2891772","0:07:02.151","0.9825520750538076","-1"
"5_9_2_forbes_kaggle_a_1","forbes","kaggle_a_1","5","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","3762746","0:09:22.359","0.9825520750538076","-1"
"1_9_2_forbes_kaggle_a_2","forbes","kaggle_a_2","1","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","1676913","0:05:09.732","0.9848001205119137","-1"
"2_9_2_forbes_kaggle_a_2","forbes","kaggle_a_2","2","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","2394793","0:05:33.998","0.9848001205119137","-1"
"5_9_2_forbes_kaggle_a_2","forbes","kaggle_a_2","5","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","3437499","0:08:10.344","0.9848001205119137","-1"
"1_9_2_forbes_kaggle_a_3","forbes","kaggle_a_3","1","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","1611738","0:05:16.741","0.9856648412041087","-1"
"2_9_2_forbes_kaggle_a_3","forbes","kaggle_a_3","2","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","2184819","0:05:38.083","0.9856648412041087","-1"
"5_9_2_forbes_kaggle_a_3","forbes","kaggle_a_3","5","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","3315944","0:06:57.967","0.9856648412041087","-1"
"1_9_2_forbes_kaggle_a_4","forbes","kaggle_a_4","1","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","928658","0:02:29.455","0.9854598450027267","-1"
"2_9_2_forbes_kaggle_a_4","forbes","kaggle_a_4","2","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","1261289","0:02:40.365","0.9854598450027267","-1"
"5_9_2_forbes_kaggle_a_4","forbes","kaggle_a_4","5","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","1913322","0:03:54.331","0.9854598450027267","-1"
"1_9_2_dw_kaggle_a_1","dw","kaggle_a_1","1","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","1602741","0:04:37.037","0.9846454789284758","-1"
"2_9_2_dw_kaggle_a_1","dw","kaggle_a_1","2","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","2567761","0:04:49.842","0.9846454789284758","-1"
"5_9_2_dw_kaggle_a_1","dw","kaggle_a_1","5","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","3235440","0:06:56.801","0.9846454789284758","-1"
"1_9_2_dw_kaggle_a_2","dw","kaggle_a_2","1","0.2","9","0.0","0.0","0.0","0.0","0.0","0.0","1431644","0:03:42.638","0.9866458341622408","-1"
