"Experiment ID","Dataset 1","Dataset 2","Matching Rule ID","Matching Rule Threshold","Blocker ID","Precision (Train)","Recall (Train)","F1 (Train)","Precision (Test)","Recall (Test)","F1 (Test)","#corr","Duration","Reduction ratio","#blocked pairs","dateTime","#corr top1","Precision top1","Recall top1","F1 top1"
"21_12_87_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.875","12","0.9565217391304348","0.852112676056338","0.9013035381750465","0.9787234042553191","0.8932038834951457","0.934010152284264","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_12_8_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.8","12","0.7471590909090909","0.926056338028169","0.8270440251572327","0.7903225806451613","0.9514563106796117","0.8634361233480176","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_12_9_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.9","12","0.9746835443037974","0.8133802816901409","0.8867562380038387","0.9885057471264368","0.8349514563106796","0.9052631578947368","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_13_7_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.7","13","0.8852459016393442","0.19014084507042253","0.31304347826086953","0.9090909090909091","0.1941747572815534","0.31999999999999995","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_13_85_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.85","13","0.9464285714285714","0.18661971830985916","0.31176470588235294","1.0","0.18446601941747573","0.3114754098360656","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_13_87_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.875","13","0.96","0.16901408450704225","0.2874251497005988","1.0","0.17475728155339806","0.2975206611570248","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_13_8_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.8","13","0.9152542372881356","0.19014084507042253","0.31486880466472306","0.9523809523809523","0.1941747572815534","0.32258064516129037","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_13_9_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.9","13","0.9791666666666666","0.16549295774647887","0.2831325301204819","1.0","0.1650485436893204","0.2833333333333334","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_16_7_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.7","16","0.8273809523809523","0.4894366197183099","0.6150442477876107","0.8771929824561403","0.4854368932038835","0.6250000000000001","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_16_85_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.85","16","0.9565217391304348","0.4647887323943662","0.6255924170616113","0.96","0.46601941747572817","0.6274509803921569","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_16_87_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.875","16","0.9606299212598425","0.4295774647887324","0.5936739659367397","0.9787234042553191","0.44660194174757284","0.6133333333333333","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_16_8_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.8","16","0.8607594936708861","0.4788732394366197","0.6153846153846154","0.9245283018867925","0.47572815533980584","0.6282051282051283","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"21_16_9_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0.9","16","0.975","0.4119718309859155","0.5792079207920792","1.0","0.42718446601941745","0.5986394557823129","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"22_10_85_dbpedia_kaggle_f","dbpedia","kaggle_f","22","0.85","10","0.9952153110047847","0.7323943661971831","0.8438133874239351","0.9879518072289156","0.7961165048543689","0.8817204301075269","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"22_10_87_dbpedia_kaggle_f","dbpedia","kaggle_f","22","0.875","10","1.0","0.6690140845070423","0.8016877637130801","1.0","0.6990291262135923","0.8228571428571428","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"22_10_8_dbpedia_kaggle_f","dbpedia","kaggle_f","22","0.8","10","0.974025974025974","0.7922535211267606","0.8737864077669902","0.9883720930232558","0.8252427184466019","0.8994708994708994","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"23_10_7_dbpedia_kaggle_f","dbpedia","kaggle_f","23","0.7","10","0.7229551451187335","0.9647887323943662","0.8265460030165912","0.7751937984496124","0.970873786407767","0.8620689655172413","0","","0.0","0","n/a","0","n/a","n/a","n/a"
