"Experiment ID","Dataset 1","Dataset 2","Matching Rule ID","Matching Rule Threshold","Blocker ID","Precision (Train)","Recall (Train)","F1 (Train)","Precision (Test)","Recall (Test)","F1 (Test)","#corr","Duration","Reduction ratio","#blocked pairs","dateTime","#corr top1","Precision top1","Recall top1","F1 top1"
"16_11_85_dbpedia_forbes","dbpedia","forbes","16","0,85","11","1","0,488764045","0,656603774","0,954545455","0,65625","0,777777778","593","00:00:21","0.9627863194874974","360154","22.11.2022 21:08","462","0,945945946","0,546875","0,693069307"
"27_10_9_forbes_kaggle_f","forbes","kaggle_f","27","0,9","10","0,972477064","0,493023256","0,654320988","0,880597015","0,842857143","0,861313869","3746","00:05:27","0.9935787802696053","6316297","28.11.2022 20:28","1521","1","0,414285714","0,585858586"
"22_10_8_forbes_kaggle_f","forbes","kaggle_f","22","0,8","10","0,976190476","0,381395349","0,548494983","0,923076923","0,685714286","0,786885246","2141","00:06:33","0.9935787802696053","6316297","29.11.2022 11:09","1243","1","0,357142857","0,526315789"
"20_11_85_dbpedia_dw","dbpedia","dw","20","0,85","11","0,984042553","0,640138408","0,775681342","0,954545455","0,831683168","0,888888889","728","00:00:19","0.9639047817907086","336055","21.11.2022 23:38","530","0,983870968","0,603960396","0,748466258"
"23_10_85_dbpedia_kaggle_f","dbpedia","kaggle_f","23","0,85","10","0,981308411","0,573770492","0,724137931","0,966666667","0,84057971","0,899224806","4198","00:14:16","0.9936582749521268","-12144415","25.11.2022 10:58","2286","0,976744186","0,608695652","0,75"
"9_11_87_dbpedia_dw","dbpedia","dw","9","0,875","11","1","0,53633218","0,698198198","1","0,663366337","0,797619048","518","00:00:10","0.9639047817907086","336055","21.11.2022 23:36","409","1","0,504950495","0,671052632"
"19_10_87_dw_kaggle_f","dw","kaggle_f","19","0,875","10","1","0,358974359","0,528301887","0,954545455","0,608695652","0,743362832","2819","00:03:48","0.9940586163356226","5622217","25.11.2022 20:24","1323","1","0,246376812","0,395348837"
"23_11_8_dbpedia_dw","dbpedia","dw","23","0,8","11","0,984126984","0,643598616","0,778242678","0,95505618","0,841584158","0,894736842","687","00:00:14","0.9639047817907086","336055","21.11.2022 23:39","514","0,984126984","0,613861386","0,756097561"
"27_10_7_dw_kaggle_f","dw","kaggle_f","27","0,7","10","0,94","0,482051282","0,637288136","0,739130435","0,985507246","0,844720497","20443","00:04:32","0.9940586163356226","5622217","25.11.2022 21:06","1769","0,965517241","0,405797101","0,571428571"
"23_10_8_dbpedia_kaggle","dbpedia","kaggle","23","0,8","10","0,967032967","0,435643564","0,600682594","0,878787879","0,950819672","0,913385827","9743","00:18:44","0.9942044619521371","284531","22.11.2022 17:09","3399","0,952380952","0,655737705","0,776699029"
