"dataworld_1501","Kaggle_5425257","0.43902439024390244","China Communications Services","pdc telecommunication services sdn bhd"
"dataworld_1268","Kaggle_6632485","0.4375","Crown Castle International","pt brown tree international"
"dataworld_615","Kaggle_5568319","0.4358974358974359","Tata Consultancy Services","greyfield consultancy services limited"
"dataworld_1432","Kaggle_6866919","0.43478260869565216","Avago Technologies","soften technologies"
"dataworld_1871","Kaggle_5600053","0.43333333333333335","Aberdeen Asset Management","beck asset management ltd"
"dataworld_601","Kaggle_6894293","0.43243243243243246","Hartford Financial Services","hadley financial services limited"
"dataworld_1404","Kaggle_6608641","0.4318181818181818","Shanghai Pharmaceuticals","shanghai tianyan pharmaceutical machinery co. ltd."
"dataworld_582","Kaggle_6942531","0.42857142857142855","Annaly Capital Management","deerhurst capital management, llc"
"dataworld_615","Kaggle_6930742","0.425","Tata Consultancy Services","bmpr offsite consultancy services limited"
"dataworld_168","Kaggle_6822423","0.42424242424242425","Honeywell International","intellisol international limited"
"dataworld_1917","Kaggle_5741082","0.4230769230769231","LG International","sugarman international ltd"
"dataworld_291","Kaggle_5403314","0.42105263157894735","Deutsche Bank","deutsche bloglinks"
"dataworld_1854","Kaggle_6723591","0.41935483870967744","Frontier Communications","clear communication solutions"
"dataworld_1501","Kaggle_5677294","0.4186046511627907","China Communications Services","director, member services & communications"
"dataworld_1040","Kaggle_5761745","0.4166666666666667","Daito Trust Construction","rba construction"
"dataworld_615","Kaggle_5614660","0.4146341463414634","Tata Consultancy Services","project consultancy services (scotland) ltd."
"dataworld_1188","Kaggle_5761881","0.41379310344827586","Charter Communications","naked ape communications"
"dataworld_1628","Kaggle_6683729","0.41304347826086957","Varian Medical Systems","varian medical systems india software private limited"
"dataworld_1250","Kaggle_6588002","0.4117647058823529","Polyus Gold International","access holdings international"
"dataworld_601","Kaggle_6621776","0.41025641025641024","Hartford Financial Services","portland financial services limited"
"dataworld_1817","Kaggle_5770151","0.4090909090909091","GS Engineering","highland engineering inc."
"dataworld_1924","Kaggle_5281345","0.4074074074074074","Old Republic International","sgl international"
"dataworld_1871","Kaggle_5763645","0.40625","Aberdeen Asset Management","covalence asset management"
"dataworld_601","Kaggle_5262016","0.40540540540540543","Hartford Financial Services","mathieson financial services ltd"
"dataworld_1892","Kaggle_6639525","0.40476190476190477","Commercial International Bank","banque internationale de commerce - bred"
"dataworld_1181","Kaggle_6918910","0.4","Orascom Construction","akt construction llc"
"dataworld_1042","Kaggle_5782561","0.3958333333333333","Belle International Holdings","excel technology international holdings limited"
"dataworld_615","Kaggle_6834568","0.3953488372093023","Tata Consultancy Services","lean outside the square consultancy services"
"dataworld_582","Kaggle_6783821","0.39473684210526316","Annaly Capital Management","beaghton capital management limited"
"dataworld_128","Kaggle_6871421","0.3939393939393939","Verizon Communications","european communication summit"
"dataworld_897","Kaggle_5278056","0.39285714285714285","Marriott International","comcube international"
"dataworld_1472","Kaggle_6941651","0.391304347826087","Compal Electronics","ebi electronics inc"
"dataworld_1854","Kaggle_5839623","0.3902439024390244","Frontier Communications","calor communication & frontline consulting"
"dataworld_555","Kaggle_5588136","0.3888888888888889","MS&AD Insurance","sprig insurance"
"dataworld_932","Kaggle_5514350","0.3870967741935484","Steinhoff International","infozee international ltd"
"dataworld_1477","Kaggle_6929480","0.38636363636363635","China International Marine","china international travel service (macau) ltd"
"dataworld_1040","Kaggle_6717687","0.38461538461538464","Daito Trust Construction","karen construction"
"dataworld_615","Kaggle_6668547","0.3829787234042553","Tata Consultancy Services","tailored management consultancy services limited"
"dataworld_256","Kaggle_5544291","0.38235294117647056","Brookfield Asset Management","alcantara asset management"
"dataworld_1314","Kaggle_5422434","0.38095238095238093","Darden Restaurants","nemo restaurant"
"dataworld_1337","Kaggle_6738413","0.38","Inner Mongolia Rare-Earth","inner mongolia baotou steel rare-earth (group) hi-tech co., ltd."
"dataworld_746","Kaggle_6708395","0.3793103448275862","Edison International","eritech international, inc."
"dataworld_216","Kaggle_6741079","0.3783783783783784","People's Insurance Company","the midland life insurance company"
"dataworld_615","Kaggle_5531332","0.37777777777777777","Tata Consultancy Services","exceptional development consultancy services"
"dataworld_1267","Kaggle_6690806","0.375","Oil & Gas Development","formium development"
"dataworld_1042","Kaggle_6832838","0.37254901960784315","Belle International Holdings","phoenix mortgage group & phoenix international holdings, llc"
"dataworld_1259","Kaggle_6942892","0.37209302325581395","Jupiter Telecommunications","vtc, vassas telecommunications consulting"
"dataworld_1216","Kaggle_6645725","0.37142857142857144","Valeant Pharmaceuticals","norton pharmaceuticals limited"
"dataworld_1484","Kaggle_5822062","0.37037037037037035","HCL Technologies","vision sum technologies ltd"
"dataworld_615","Kaggle_6726745","0.3695652173913043","Tata Consultancy Services","vrm energy consultancy services private limited"
"dataworld_1481","Kaggle_5851236","0.3684210526315789","BS Financial Group","crm financial"
"dataworld_1501","Kaggle_6724037","0.3673469387755102","China Communications Services","diverse communication services ltd t/a dc systems"
"dataworld_1052","Kaggle_5288644","0.36666666666666664","Flextronics International","expert international"
"dataworld_1501","Kaggle_6724611","0.36585365853658536","China Communications Services","china global education services ltd"
"dataworld_1190","Kaggle_5816684","0.36363636363636365","Micron Technology","m2-secure technology"
"dataworld_615","Kaggle_5461945","0.3617021276595745","Tata Consultancy Services","technology research and consultancy services ltd"
"dataworld_270","Kaggle_6822538","0.3611111111111111","China Communications Construction","britannia communications"
"dataworld_1817","Kaggle_5601438","0.36","GS Engineering","electric life engineering"
"dataworld_1306","Kaggle_6869338","0.358974358974359","Eurasian Natural Resources","global natural resources consulting"
"dataworld_2","Kaggle_5832503","0.35714285714285715","China Construction Bank","kato construction inc"
"dataworld_61","Kaggle_5709738","0.35555555555555557","American International Group","international group of business & investment"
"dataworld_897","Kaggle_6808378","0.3548387096774194","Marriott International","international factors ltd."
"dataworld_615","Kaggle_5486979","0.3541666666666667","Tata Consultancy Services","passion next consultancy services private limited"
"dataworld_1907","Kaggle_5405708","0.35294117647058826","Kuwait Projects","afs projects"
"dataworld_146","Kaggle_5417945","0.35135135135135137","Philip Morris International","rob-son graphics international"
"dataworld_1560","Kaggle_5301530","0.35","E-L Financial","suncap financial, llc"
"dataworld_1196","Kaggle_6840173","0.3488372093023256","Fidelity National Financial","foster international financial services"
"dataworld_555","Kaggle_5543148","0.34782608695652173","MS&AD Insurance","3d insurance services, inc."
"dataworld_1368","Kaggle_5407319","0.3469387755102041","Shanghai Construction","shanghai zenith mining and construction machiney co.,ltd."
"dataworld_1044","Kaggle_5451318","0.34615384615384615","Arrow Electronics","humax electronics co. ltd"
"dataworld_1040","Kaggle_6661415","0.3448275862068966","Daito Trust Construction","apmc construction corp."
"dataworld_1250","Kaggle_6657600","0.34375","Polyus Gold International","cybersoft international"
"dataworld_128","Kaggle_5316646","0.34285714285714286","Verizon Communications","central communication services"
"dataworld_992","Kaggle_5703684","0.34210526315789475","Shanghai International Port","shawston international limited"
"dataworld_1245","Kaggle_5334360","0.34146341463414637","Huadian Power International","canadian bank note international ltd."
"dataworld_197","Kaggle_5545599","0.3409090909090909","China State Construction","midstate construction - roofing and restoration"
"dataworld_1052","Kaggle_5458068","0.3404255319148936","Flextronics International","electronic retailing systems international, inc."
"dataworld_615","Kaggle_5381847","0.34","Tata Consultancy Services","twintech consultancy services private limited - india"
"dataworld_992","Kaggle_6672796","0.33962264150943394","Shanghai International Port","shanghai pudong international container terminals co., ltd."
"dataworld_1773","Kaggle_6796210","0.3333333333333333","Navistar International","certus invest international"
"dataworld_1259","Kaggle_5787491","0.3269230769230769","Jupiter Telecommunications","connect business systems (telecommunications) limited"
"dataworld_256","Kaggle_5336003","0.32653061224489793","Brookfield Asset Management","pathway asset management/ mineral fields/ energy fields"
"dataworld_270","Kaggle_6695776","0.32608695652173914","China Communications Construction","marketing and communications consultant"
"dataworld_1052","Kaggle_6853252","0.32558139534883723","Flextronics International","petronas international power corporation b.v."
"dataworld_61","Kaggle_5487597","0.325","American International Group","amesbury partners international"
"dataworld_1879","Kaggle_6591204","0.32432432432432434","Finning International","cdi corporation (international) limited"
"dataworld_618","Kaggle_6682657","0.3235294117647059","Datang International Power","crown international group"
"dataworld_1256","Kaggle_5656633","0.3225806451612903","City Developments","edgehill developments limited"
"dataworld_1267","Kaggle_6729731","0.32142857142857145","Oil & Gas Development","dividend development inc"
"dataworld_615","Kaggle_5496325","0.32075471698113206","Tata Consultancy Services","contract wise - project and commercial consultancy services"
"dataworld_395","Kaggle_5804377","0.32","QBE Insurance Group","niceville insurance"
"dataworld_304","Kaggle_5498906","0.3191489361702128","China Railway Construction","china city construction holding group company"
"dataworld_105","Kaggle_6914350","0.3181818181818182","American Express","american logo & sign"
"dataworld_1892","Kaggle_5434849","0.3170731707317073","Commercial International Bank","h & j electronics international inc"
"dataworld_327","Kaggle_5368395","0.3157894736842105","American Electric","fall electric"
"dataworld_615","Kaggle_5663121","0.3148148148148148","Tata Consultancy Services","icon adcorp financial consultancy services private limited"
"dataworld_948","Kaggle_5628947","0.3142857142857143","Shaw Communications","waypoint strategic communication"
"dataworld_1259","Kaggle_6628521","0.3137254901960784","Jupiter Telecommunications","shenzhen victory digital telecommunications co,. ltd."
"dataworld_974","Kaggle_5722045","0.3125","Public Storage","publicus.io"
"dataworld_1892","Kaggle_5329505","0.3111111111111111","Commercial International Bank","tom crites & associates international inc"
"dataworld_1661","Kaggle_5643760","0.3103448275862069","Nabors Industries","therapeutic industries, inc."
"dataworld_270","Kaggle_5818992","0.30952380952380953","China Communications Construction","simul business communications, inc."
"dataworld_470","Kaggle_5778777","0.3076923076923077","Public Service Enterprise","e.r. enterprises"
"dataworld_601","Kaggle_6929625","0.30612244897959184","Hartford Financial Services","caterpillar financial services netherlands b.v."
"dataworld_1497","Kaggle_5519870","0.3055555555555556","Experditors International","microtek international p. ltd."
"dataworld_1479","Kaggle_5382160","0.30434782608695654","Aker Solutions","antistatic solutions"
"dataworld_1042","Kaggle_5840609","0.30357142857142855","Belle International Holdings","hbos international financial services holdings limited"
"dataworld_2","Kaggle_5419698","0.30303030303030304","China Construction Bank","rowallane construction ltd"
"dataworld_1356","Kaggle_5714105","0.3023255813953488","Millicom International","mining technologies international pty ltd"
"dataworld_1052","Kaggle_6572398","0.3018867924528302","Flextronics International","international electronics and technical institute inc."
"dataworld_1805","Kaggle_5630603","0.3","Monster Beverage","first beverage"
"dataworld_1259","Kaggle_6725574","0.2982456140350877","Jupiter Telecommunications","u.s. naval computer and telecommunication station, far east (ncts far east)"
"dataworld_389","Kaggle_6561277","0.2978723404255319","Huaneng Power International","international commissioning and engineering"
"dataworld_301","Kaggle_5752011","0.2972972972972973","Wilmar International","egyptian international company - eic"
"dataworld_134","Kaggle_6682150","0.2962962962962963","Capital One Financial","penntrade financial"
"dataworld_1892","Kaggle_5317668","0.29545454545454547","Commercial International Bank","international chemical investors s.e."
"dataworld_1040","Kaggle_6821533","0.29411764705882354","Daito Trust Construction","waterworks construction, inc."
"dataworld_615","Kaggle_6569346","0.29310344827586204","Tata Consultancy Services","holder and associates counselling & consultancy services (haccs)"
"dataworld_838","Kaggle_6678829","0.2926829268292683","Discovery Communications","communication, concept & distribution inc."
"dataworld_1885","Kaggle_5731969","0.2916666666666667","TPV Technology","millenium 3 technologies"
"dataworld_121","Kaggle_5471555","0.2909090909090909","Shanghai Pudong Development","shang hai chuang tu technology network development co., ltd"
"dataworld_121","Kaggle_5850607","0.2903225806451613","Shanghai Pudong Development","huntec development"
"dataworld_1052","Kaggle_5673755","0.2894736842105263","Flextronics International","medicap holding international"
"dataworld_1892","Kaggle_6572818","0.28888888888888886","Commercial International Bank","third party solutions international inc."
"dataworld_1654","Kaggle_6752794","0.28846153846153844","Shanghai Industrial","shanghai jin jiang international industrial investment co., ltd."
"dataworld_1477","Kaggle_5298470","0.288135593220339","China International Marine","china international capital corporation hong kong asset management"
"dataworld_1066","Kaggle_5327633","0.2857142857142857","Grupo Bimbo","grupo catri"
"dataworld_61","Kaggle_6704919","0.2830188679245283","American International Group","international marketing research & communication group"
"dataworld_1501","Kaggle_5646104","0.2826086956521739","China Communications Services","professional communications solutions ltd"
"dataworld_146","Kaggle_6591661","0.28205128205128205","Philip Morris International","market research international"
"dataworld_1792","Kaggle_6592592","0.28125","Interactive Brokers Group","pixel labs interactive"
"dataworld_1259","Kaggle_5829720","0.2807017543859649","Jupiter Telecommunications","independent telephone and telecommunications alliance (itta)"
"dataworld_1255","Kaggle_6631015","0.28","Community Health Sys","beta community svc"
