"Forbes1936","Kaggle_5736688","0.45714285714285713","Korea Investment Holdings","sam uk investment holdings limited"
"Forbes71","Kaggle_5471305","0.45652173913043476","China State Construction Engineering","coenco construction, engineering & consulting"
"Forbes1719","Kaggle_6930709","0.45454545454545453","City Developments","apm developments, llc"
"Forbes1394","Kaggle_5809681","0.4523809523809524","Focus Media Information Technology","global information technology (uk) ltd"
"Forbes107","Kaggle_6662787","0.45161290322580644","Charter Communications","advance fiber communications"
"Forbes1884","Kaggle_5824593","0.45","GS Engineering","lantern engineering"
"Forbes961","Kaggle_5695391","0.4482758620689655","BOE Technology Group","serenity technology group ltd"
"Forbes318","Kaggle_6875935","0.4473684210526316","Discover Financial Services","swiss company for financial services"
"Forbes71","Kaggle_5544637","0.44680851063829785","China State Construction Engineering","youkais beta tek engineering & construction"
"Forbes668","Kaggle_6869485","0.4444444444444444","Rogers Communications","dynamic communications"
"Forbes1394","Kaggle_6914684","0.4418604651162791","Focus Media Information Technology","added value for information technology"
"Forbes338","Kaggle_6899775","0.4411764705882353","Hartford Financial Services","victory financial services vfs"
"Forbes71","Kaggle_5464861","0.44","China State Construction Engineering","triangular force construction engineering ltd"
"Forbes864","Kaggle_6881614","0.43902439024390244","Shanghai International Port","shanghai renlu international trade co., ltd."
"Forbes948","Kaggle_6868314","0.4375","CapitaLand","capital accounts"
"Forbes377","Kaggle_5571163","0.4358974358974359","Tata Consultancy Services","ezylinkbiz consultancy services pvt ltd"
"Forbes608","Kaggle_6719107","0.43478260869565216","Dell Technologies","smart car technologies"
"Forbes87","Kaggle_6928081","0.43333333333333335","United Technologies","consolidated technologies inc"
"Forbes1840","Kaggle_6898245","0.43243243243243246","Xiamen International Trade Group","international trade supplier"
"Forbes1394","Kaggle_5619009","0.4318181818181818","Focus Media Information Technology","advanced information technologies, llc"
"Forbes1460","Kaggle_5349587","0.43137254901960786","Melco International Development","karan international industrial development company"
"Forbes1398","Kaggle_6786090","0.42857142857142855","Fukuoka Financial Group","proview financial group"
"Forbes1460","Kaggle_5394493","0.425531914893617","Melco International Development","international education development agency (ieda)"
"Forbes71","Kaggle_5495053","0.425","China State Construction Engineering","decon structural engineering"
"Forbes1594","Kaggle_5717806","0.42424242424242425","China International Marine","metalmart international inc."
