"Forbes377","Kaggle_3802777","0.5483870967741935","Tata Consultancy Services","repear - it consultancy services"
"Forbes676","Kaggle_4338918","0.5454545454545454","Recruit Holdings","recruit.uk.net"
"Forbes1394","Kaggle_4370244","0.5428571428571428","Focus Media Information Technology","base information technology ltd"
"Forbes101","Kaggle_3550523","0.5416666666666666","National Australia Bank","australian national line ltd."
"Forbes1394","Kaggle_4459587","0.5405405405405406","Focus Media Information Technology","international foundry information and technology co., ltd"
"Forbes1422","Kaggle_3482102","0.5384615384615384","British Land","british life ltd"
"Forbes741","Kaggle_4164344","0.5357142857142857","Annaly Capital Management","levana capital management"
"Forbes311","Kaggle_4795081","0.5333333333333333","Poly Real Estate","no. 3 real estate"
"Forbes377","Kaggle_4300389","0.53125","Tata Consultancy Services","outlook it consultancy & services"
"Forbes1876","Kaggle_4956597","0.5294117647058824","ST Engineering","lowe engineering limited"
"Forbes1394","Kaggle_4250239","0.5277777777777778","Focus Media Information Technology","fresh information technology limited"
"Forbes1719","Kaggle_5039838","0.5263157894736842","City Developments","dmg developments"
"Forbes71","Kaggle_4546349","0.525","China State Construction Engineering","construction & engineering company limited"
"Forbes357","Kaggle_4309407","0.5238095238095238","Kinder Morgan","kinder morgan treating lp"
"Forbes1332","Kaggle_5216869","0.5217391304347826","Koito Manufacturing","indigo manufacturing"
"Forbes1265","Kaggle_4716300","0.52","Darden Restaurants","phoenix garden restaurant ltd"
"Forbes214","Kaggle_4877813","0.5185185185185185","People's Insurance Company","star insurance company"
"Forbes741","Kaggle_5077113","0.5172413793103449","Annaly Capital Management","ball capital management, llc"
"Forbes741","Kaggle_3515127","0.5161290322580645","Annaly Capital Management","tannor capital management llc"
"Forbes377","Kaggle_4819602","0.5151515151515151","Tata Consultancy Services","peter quinn consultancy services"
"Forbes1447","Kaggle_4411760","0.5135135135135135","RiseSun Real Estate Development","az real estate development company ltd."
"Forbes1394","Kaggle_4677569","0.5128205128205128","Focus Media Information Technology","sarina information technology llc"
"Forbes71","Kaggle_4267633","0.5121951219512195","China State Construction Engineering","c2e llc; camp construction & engineering"
"Forbes71","Kaggle_3697674","0.5116279069767442","China State Construction Engineering","maritime construction and engineering llc"
"Forbes2","Kaggle_3562993","0.5","China Construction Bank","rci construction"
"Forbes71","Kaggle_3757547","0.4883720930232558","China State Construction Engineering","guangxi construction engineering group the 5th construction engineering co."
"Forbes71","Kaggle_4197126","0.4878048780487805","China State Construction Engineering","tristar engineering & construction"
"Forbes1394","Kaggle_5055573","0.48717948717948717","Focus Media Information Technology","viarmour information technology co., ltd"
"Forbes377","Kaggle_5120688","0.4864864864864865","Tata Consultancy Services","msmemitra.com consultancy services llp"
"Forbes377","Kaggle_4509249","0.4857142857142857","Tata Consultancy Services","burgess and rhead consultancy services"
"Forbes1011","Kaggle_3564625","0.48484848484848486","China Grand Automotive Services","glory automotive services"
"Forbes741","Kaggle_3830962","0.4838709677419355","Annaly Capital Management","aztec capital management, llc"
"Forbes214","Kaggle_4618227","0.4827586206896552","People's Insurance Company","equity insurance company"
"Forbes1253","Kaggle_5227136","0.48148148148148145","Community Health Systems","chota community health"
"Forbes135","Kaggle_3521415","0.48","China Communications Construction","hutchinson construction"
"Forbes622","Kaggle_4713203","0.4782608695652174","Murata Manufacturing","hale manufacturing ltd"
"Forbes71","Kaggle_4518480","0.4772727272727273","China State Construction Engineering","weldcon engineering & construction sdn bhd"
"Forbes2","Kaggle_4429477","0.47619047619047616","China Construction Bank","stem construction"
"Forbes1394","Kaggle_4596246","0.475","Focus Media Information Technology","eng school of information technology"
"Forbes482","Kaggle_5049119","0.47368421052631576","Micron Technology","scan technology, inc."
"Forbes377","Kaggle_4880506","0.4722222222222222","Tata Consultancy Services","vrhr global consultancy services pvt. ltd."
"Forbes394","Kaggle_3838424","0.47058823529411764","Citic Securities","hem securities ltd."
"Forbes1759","Kaggle_3906459","0.46875","Nomura Research Institute","medicinal research institute"
"Forbes831","Kaggle_5007000","0.4666666666666667","EOG Resources","scn resources group, inc."
